curve_number,eqp_type,source,model,ref_cap,ref_cap_unit,full_eff,full_eff_unit,compressor_type,condenser_type,compressor_speed,sim_engine,min_plr,min_unloading,max_plr,out_var,type,ref_evap_fluid_flow,ref_cond_fluid_flow,ref_lwt,ref_ect,ref_lct,units,x_min,y_min,x_max,y_max,out_min,out_max,coeff1,coeff2,coeff3,coeff4,coeff5,coeff6,coeff7,coeff8,coeff9,coeff10
0,chiller,2,ect_lwt,,ton,5.5,cop,centrifugal,water,constant,energyplus,0.1,0.2,1.0,eir-f-t,bi_quad,,,6.67,29.4,,si,5.0,24.0,10.0,35.0,0.0,,0.9338839999999999,-0.058212,0.00450036,0.0024300000000000003,0.000486,-0.001215,0.0,0.0,0.0,0.0
0,chiller,2,ect_lwt,,ton,5.5,cop,centrifugal,water,constant,energyplus,0.1,0.2,1.0,cap-f-t,bi_quad,,,6.67,29.4,,si,5.0,24.0,10.0,35.0,0.0,,0.257896,0.0389016,-0.00021708,0.0468684,-0.00094284,-0.00034344000000000003,0.0,0.0,0.0,0.0
0,chiller,2,ect_lwt,,ton,5.5,cop,centrifugal,water,constant,energyplus,0.1,0.2,1.0,eir-f-plr,quad,,,6.67,29.4,,si,0.0,0.0,1.0,1.0,0.0,,0.222903,0.31338699999999997,0.46371,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,chiller,2,ect_lwt,,ton,3.67,cop,reciprocating,water,constant,energyplus,0.1,0.2,1.0,eir-f-t,bi_quad,,,6.67,29.4,,si,5.0,24.0,10.0,35.0,0.0,,1.03076,-0.10353599999999999,0.00710208,0.0093186,0.00031752,-0.00104328,0.0,0.0,0.0,0.0
1,chiller,2,ect_lwt,,ton,3.67,cop,reciprocating,water,constant,energyplus,0.1,0.2,1.0,cap-f-t,bi_quad,,,6.67,29.4,,si,5.0,24.0,10.0,35.0,0.0,,0.507883,0.145228,-0.00625644,-0.0011178,-0.0001296,-0.00028188000000000003,0.0,0.0,0.0,0.0
1,chiller,2,ect_lwt,,ton,3.67,cop,reciprocating,water,constant,energyplus,0.1,0.2,1.0,eir-f-plr,quad,,,6.67,29.4,,si,0.0,0.0,1.0,1.0,0.0,,0.08806499999999999,1.137742,-0.22580599999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,chiller,3,ect_lwt,,ton,,cop,centrifugal,air,constant,energyplus,0.15,0.15,1.0,eir-f-t,bi_quad,,,6.67,35.0,,si,5.0,12.7,10.0,51.67,0.0,,0.5961907,-0.0099493,0.0007888,0.0004506,0.0004875,-0.0007622999999999999,0.0,0.0,0.0,0.0
2,chiller,3,ect_lwt,,ton,,cop,centrifugal,air,constant,energyplus,0.15,0.15,1.0,cap-f-t,bi_quad,,,6.67,35.0,,si,5.0,12.7,10.0,51.67,0.0,,1.0433825,0.040707299999999995,0.0004506,-0.0041513999999999995,-8.86e-05,-0.00034669999999999997,0.0,0.0,0.0,0.0
2,chiller,3,ect_lwt,,ton,,cop,centrifugal,air,constant,energyplus,0.15,0.15,1.0,eir-f-plr,quad,,,6.67,35.0,,si,0.0,0.0,1.0,1.0,0.0,,0.14100000000000001,0.655,0.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,chiller,4,ect_lwt,,ton,,cop,centrifugal,water,constant,energyplus,,,,eir-f-t,bi_quad,,,6.67,29.44,34.61,si,4.44,15.56,12.22,29.44,0.68,1.05,0.658643,-0.0253393,0.000991116,0.0128014,0.000171072,-0.00030132,0.0,0.0,0.0,0.0
3,chiller,4,ect_lwt,,ton,,cop,centrifugal,water,constant,energyplus,,,,cap-f-t,bi_quad,,,6.67,29.44,35.61,si,4.44,15.56,12.22,29.44,0.91,0.87,0.364691,-0.0305206,-0.00192974,0.0663743,-0.00189184,0.00311072,0.0,0.0,0.0,0.0
3,chiller,4,ect_lwt,,ton,,cop,centrifugal,water,constant,energyplus,,,,eir-f-plr,quad,,,,,,si,0.1,,,,0.28,,0.22214906,0.50315595,0.25690463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,chiller,4,ect_lwt,,ton,,cop,reciprocating,water,constant,energyplus,,,,eir-f-t,bi_quad,,,6.67,29.44,34.61,si,4.44,15.56,12.22,29.44,0.74,1.27,0.665307,-0.009339,0.000483,0.009492,0.000544,-0.000864,0.0,0.0,0.0,0.0
4,chiller,4,ect_lwt,,ton,,cop,reciprocating,water,constant,energyplus,,,,cap-f-t,bi_quad,,,6.67,29.44,34.61,si,4.44,15.56,12.22,29.44,0.89,1.33,0.9674400000000001,0.037082,0.000434,-0.005836999999999999,-4.9000000000000005e-05,-0.000274,0.0,0.0,0.0,0.0
4,chiller,4,ect_lwt,,ton,,cop,reciprocating,water,constant,energyplus,,,,eir-f-plr,quad,,,6.67,29.44,34.61,si,0.1,0.0,1.0,1.0,0.35000000000000003,,0.310965,0.322519,0.372745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,chiller,4,ect_lwt,,ton,,cop,reciprocating,water,variable,energyplus,,,,eir-f-t,bi_quad,,,6.67,29.44,34.61,si,4.44,15.56,12.22,29.44,0.5,1.07,0.428,-0.024071,0.0008489999999999999,0.016416,0.000381,-0.00059,0.0,0.0,0.0,0.0
5,chiller,4,ect_lwt,,ton,,cop,reciprocating,water,variable,energyplus,,,,cap-f-t,bi_quad,,,6.67,29.44,34.61,si,4.44,15.56,12.22,29.44,0.93,1.21,0.9,0.030102,-0.000332,-0.001743,-9.2e-05,0.00022899999999999998,0.0,0.0,0.0,0.0
5,chiller,4,ect_lwt,,ton,,cop,reciprocating,water,variable,energyplus,,,,eir-f-plr,quad,,,6.67,29.44,34.61,si,0.1,0.0,1.0,1.0,0.07,,0.0,0.6206,0.38930000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,chiller,2,ect_lwt,134.0,ton,5.89,cop,centrifugal,water,constant,energyplus,0.1,0.1,1.15,eir-f-t,bi_quad,0.010350000000000002,0.01924,8.89,26.67,,si,7.22,12.78,12.78,26.67,0.0,,0.44752379999999997,-0.025882099999999998,-0.001459053,0.04342595,-0.001000651,0.0019201060000000002,0.0,0.0,0.0,0.0
6,chiller,2,ect_lwt,134.0,ton,5.89,cop,centrifugal,water,constant,energyplus,0.1,0.1,1.15,eir-f-plr,quad,0.010350000000000002,0.01924,8.89,26.67,,si,0.1,0.0,1.15,,0.0,,0.2778889,0.2338363,0.4883748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,chiller,2,ect_lwt,134.0,ton,5.89,cop,centrifugal,water,constant,energyplus,0.1,0.1,1.15,cap-f-t,bi_quad,0.010350000000000002,0.01924,8.89,26.67,,si,7.22,12.78,12.78,26.67,0.0,,0.252113,0.01324053,-0.008637329000000001,0.08581056000000001,-0.004261176,0.008661899,0.0,0.0,0.0,0.0
7,chiller,2,ect_lwt,160.0,ton,10.61,cop,centrifugal,water,constant,energyplus,0.09,0.09,1.03,eir-f-t,bi_quad,0.01514,0.0241,6.11,12.78,,si,6.11,12.78,12.78,23.89,0.0,,-0.5781003,-0.11691299999999999,-0.004760535000000001,0.2230082,-0.005313649,0.006846644000000001,0.0,0.0,0.0,0.0
7,chiller,2,ect_lwt,160.0,ton,10.61,cop,centrifugal,water,constant,energyplus,0.09,0.09,1.03,eir-f-plr,quad,0.01514,0.0241,6.11,12.78,,si,0.09,0.0,1.03,,0.0,,0.5203968999999999,-0.7775900000000001,1.255394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,chiller,2,ect_lwt,160.0,ton,10.61,cop,centrifugal,water,constant,energyplus,0.09,0.09,1.03,cap-f-t,bi_quad,0.01514,0.0241,6.11,12.78,,si,6.11,12.78,12.78,23.89,0.0,,-0.12886119999999998,-0.0891954,-0.0021901950000000002,0.1538357,-0.005129402,0.007813636,0.0,0.0,0.0,0.0
8,chiller,2,ect_lwt,200.0,ton,7.03,cop,centrifugal,water,constant,energyplus,0.1,0.1,1.03,eir-f-t,bi_quad,0.020190000000000003,0.02902,5.5600000000000005,22.78,,si,5.5600000000000005,12.78,8.89,23.89,0.0,,0.8234028999999999,-0.1171542,0.000586935,0.02964642,-0.0009190380000000001,0.005035796,0.0,0.0,0.0,0.0
8,chiller,2,ect_lwt,200.0,ton,7.03,cop,centrifugal,water,constant,energyplus,0.1,0.1,1.03,eir-f-plr,quad,0.020190000000000003,0.02902,5.5600000000000005,22.78,,si,0.1,0.0,1.03,,0.0,,0.3864389,-0.25225949999999997,0.8672354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,chiller,2,ect_lwt,200.0,ton,7.03,cop,centrifugal,water,constant,energyplus,0.1,0.1,1.03,cap-f-t,bi_quad,0.020190000000000003,0.02902,5.5600000000000005,22.78,,si,5.5600000000000005,12.78,8.89,23.89,0.0,,0.4779439,0.10734859999999999,-0.010558960000000001,0.04208433,-0.00234687,0.004019632,0.0,0.0,0.0,0.0
9,chiller,2,ect_lwt,206.0,ton,6.04,cop,centrifugal,water,constant,energyplus,0.19,0.19,1.04,eir-f-t,bi_quad,0.01779,0.01956,5.5600000000000005,21.11,,si,5.5600000000000005,13.75,10.0,23.89,0.0,,0.5059102,-0.016215570000000002,0.000334639,0.023509060000000002,0.00035142,-0.000634298,0.0,0.0,0.0,0.0
9,chiller,2,ect_lwt,206.0,ton,6.04,cop,centrifugal,water,constant,energyplus,0.19,0.19,1.04,eir-f-plr,quad,0.01779,0.01956,5.5600000000000005,21.11,,si,0.19,0.0,1.04,,0.0,,0.1879418,0.3562862,0.4540392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,chiller,2,ect_lwt,206.0,ton,6.04,cop,centrifugal,water,constant,energyplus,0.19,0.19,1.04,cap-f-t,bi_quad,0.01779,0.01956,5.5600000000000005,21.11,,si,5.5600000000000005,13.75,10.0,23.89,0.0,,0.44187119999999996,-0.08384251,-0.002190707,0.08594633,-0.0033225750000000004,0.006652189,0.0,0.0,0.0,0.0
10,chiller,2,ect_lwt,211.0,ton,5.42,cop,centrifugal,water,variable,energyplus,0.19,0.19,1.02,eir-f-t,bi_quad,0.01779,0.01956,5.5600000000000005,21.11,,si,5.5600000000000005,11.25,10.0,23.89,0.0,,0.9946138999999999,-0.04829399,0.00046742800000000004,-0.0011587260000000001,0.0005762580000000001,0.00021481900000000002,0.0,0.0,0.0,0.0
10,chiller,2,ect_lwt,211.0,ton,5.42,cop,centrifugal,water,variable,energyplus,0.19,0.19,1.02,eir-f-plr,quad,0.01779,0.01956,5.5600000000000005,21.11,,si,0.19,0.0,1.02,,0.0,,0.12022769999999999,0.1396384,0.7394037999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,chiller,2,ect_lwt,211.0,ton,5.42,cop,centrifugal,water,variable,energyplus,0.19,0.19,1.02,cap-f-t,bi_quad,0.01779,0.01956,5.5600000000000005,21.11,,si,5.5600000000000005,11.25,10.0,23.89,0.0,,0.9797100999999999,-0.002895701,-0.0008970720000000001,0.0103144,-0.0007431650000000001,0.001453508,0.0,0.0,0.0,0.0
11,chiller,2,ect_lwt,232.0,ton,6.74,cop,centrifugal,water,constant,energyplus,0.09,0.09,1.03,eir-f-t,bi_quad,0.017480000000000002,0.04164,8.89,26.67,,si,7.22,12.78,12.78,26.67,0.0,,0.7335321,0.000446511,-0.003448575,0.003770822,-0.00021896800000000002,0.002400267,0.0,0.0,0.0,0.0
11,chiller,2,ect_lwt,232.0,ton,6.74,cop,centrifugal,water,constant,energyplus,0.09,0.09,1.03,eir-f-plr,quad,0.017480000000000002,0.04164,8.89,26.67,,si,0.09,0.0,1.03,,0.0,,0.3070136,0.08654874,0.6081551,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,chiller,2,ect_lwt,232.0,ton,6.74,cop,centrifugal,water,constant,energyplus,0.09,0.09,1.03,cap-f-t,bi_quad,0.017480000000000002,0.04164,8.89,26.67,,si,7.22,12.78,12.78,26.67,0.0,,0.986259,0.05799373,-0.0053556260000000005,-0.000894171,-0.001670098,0.004733054,0.0,0.0,0.0,0.0
